date,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zyra
12,52.16,69.9,60.06,15.65,5.78,70.37,58.85,69.34,66.15,71.81,5.94,14.41,32.2,15.96,74.36,58.36,76.7,41.92,77.3,70.75,46.72,48.92,75.65,63.31,5.23,6.0,69.28,19.67,68.35,58.36,57.76,70.26,64.31,71.43,20.31,22.06,6.99,73.85,71.18,72.07,3.36,3.46,29.0,39.76,74.89,74.53,71.9,79.26,20.15,69.44,72.07,65.66,59.22,14.4,66.66,6.32,8.55,62.74,72.33,64.91,6.97,16.41,73.71,77.65,7.83,51.15,47.52,69.16,29.92,12.22,69.36,68.62,17.6,3.35,67.66,23.76,11.6,8.76,12.24,36.93,76.11,42.12,49.47,40.24,57.04,4.36,8.32,6.27,75.9,18.46,65.53,63.38,67.69,6.09,12.59,49.99,10.04,68.08,50.11,76.49,8.27,5.36,4.75,68.4,75.84,24.44,69.31,65.25,17.05,58.78,12.89,74.09,46.91,61.41,67.98,56.38,10.33,63.98,73.45,70.22,57.94,56.17,6.51,76.65,76.48,18.73,8.16,39.5,73.36,65.79,14.7,71.74,68.85,6.83,71.41,70.65,25.39,15.21
13,57.3,76.36,65.52,17.27,7.12,77.1,64.03,75.44,71.89,78.0,6.76,16.01,35.27,17.65,80.99,63.75,83.63,46.38,84.17,77.79,51.16,54.06,82.48,69.3,6.2,7.1,75.58,21.82,75.15,63.75,63.32,77.44,70.8,78.41,22.74,24.81,8.33,80.37,78.47,79.18,4.0,3.89,32.16,44.02,81.74,81.32,78.45,86.35,22.27,75.89,78.31,71.46,64.73,16.3,72.93,7.35,9.78,68.95,79.03,70.65,8.08,18.13,80.48,84.73,8.71,55.63,52.57,75.65,33.32,14.24,75.87,74.99,19.45,3.86,74.87,26.22,13.11,10.37,14.05,41.07,82.91,46.58,54.23,44.61,62.34,4.91,9.86,7.42,83.48,20.65,72.09,69.6,73.8,7.41,14.2,54.69,11.73,75.15,55.24,83.53,9.7,6.04,5.35,75.23,82.67,26.95,75.28,71.12,18.83,64.55,14.12,80.84,51.54,67.64,73.85,61.7,11.96,70.38,80.07,76.66,63.5,61.29,7.65,83.75,83.62,21.16,9.49,43.81,80.19,71.76,16.49,78.39,76.06,8.24,77.75,76.82,28.02,17.02
14,62.73,82.77,70.93,18.85,8.33,83.9,68.91,81.49,77.72,84.23,7.59,17.52,38.23,19.25,87.47,69.15,90.31,50.82,90.72,84.86,55.55,59.11,89.14,75.36,7.11,8.12,81.63,24.02,81.87,69.05,68.76,84.64,77.36,85.22,25.08,27.68,9.52,86.86,85.68,86.24,4.59,4.32,35.39,48.21,88.65,87.8,84.79,93.16,24.31,82.32,84.54,77.43,70.15,18.16,78.92,8.47,11.01,74.8,85.49,75.88,9.23,19.78,87.34,91.59,9.57,60.08,57.39,82.29,36.8,16.24,82.08,81.18,21.31,4.34,82.21,28.72,14.62,11.88,15.85,45.1,89.69,50.94,59.06,48.84,67.23,5.47,11.26,8.53,90.93,22.9,78.42,75.41,79.94,8.81,15.9,59.35,13.58,82.61,60.15,90.67,11.12,6.65,5.9,81.57,89.38,29.41,81.24,77.04,20.54,70.24,15.28,87.49,56.24,73.98,79.64,66.79,13.61,76.53,86.59,82.94,68.88,66.24,8.79,90.78,90.66,23.68,10.93,47.93,86.85,77.81,18.34,84.89,83.07,9.61,84.02,83.07,30.91,18.85
15,67.74,88.88,76.01,20.38,9.67,90.35,73.43,87.33,83.17,90.01,8.45,18.99,41.15,20.81,93.68,74.23,96.69,54.97,96.82,91.48,59.77,63.98,95.58,81.1,8.18,9.25,87.39,26.2,88.29,74.0,73.97,91.48,83.67,91.73,27.41,30.49,10.76,93.0,92.86,92.94,5.16,4.76,38.53,52.33,95.04,94.17,91.05,99.8,26.35,88.23,90.07,82.97,75.43,20.12,84.76,9.65,12.39,80.92,91.94,80.87,10.4,21.41,93.83,98.19,10.41,64.3,62.14,88.55,40.1,18.38,88.15,87.41,23.13,4.83,89.18,31.16,16.12,13.56,17.57,48.83,96.08,55.18,63.52,52.97,71.88,6.05,12.76,9.77,98.0,25.11,84.55,81.22,85.9,10.25,17.55,63.76,15.45,89.39,65.21,97.79,12.64,7.3,6.48,87.88,95.82,31.66,86.93,82.68,22.18,75.69,16.42,93.89,60.73,80.16,85.18,71.92,15.2,82.45,92.73,89.1,74.24,71.02,10.04,97.47,97.19,26.04,12.44,51.91,93.46,83.54,20.31,91.17,89.79,10.94,89.91,89.08,33.64,20.64
16,73.04,94.71,81.06,21.94,11.32,96.58,77.82,93.16,88.55,95.82,9.33,20.46,44.0,22.45,100.12,79.5,102.72,59.22,102.96,97.91,64.01,68.84,102.07,86.8,9.39,10.59,93.25,28.45,94.71,78.97,79.15,98.67,90.1,98.02,29.85,33.66,12.26,99.18,99.86,99.54,5.89,5.21,41.72,56.75,101.46,100.49,97.38,106.31,28.41,94.21,95.53,88.45,80.67,22.27,90.72,11.01,13.94,86.39,98.42,85.82,11.72,23.07,99.93,104.81,11.27,68.41,66.89,94.59,43.53,20.77,94.23,93.4,24.97,5.33,96.22,33.66,17.8,15.28,19.56,52.64,102.37,59.5,68.0,57.0,76.48,6.65,14.4,11.14,104.87,27.55,90.79,86.73,91.32,11.87,19.42,68.27,17.58,95.88,70.03,104.93,14.37,7.99,7.11,94.11,101.89,33.98,92.62,88.18,23.88,81.1,17.57,100.31,65.26,86.37,90.53,77.05,17.16,88.28,99.18,95.34,79.49,75.54,11.53,103.86,103.74,28.8,14.13,56.05,100.07,89.03,22.32,97.44,96.34,12.44,95.79,95.1,36.34,22.55
17,77.98,100.55,85.92,23.52,13.04,103.02,82.39,99.07,94.33,101.92,10.27,21.91,46.92,24.09,106.36,84.73,108.75,63.4,109.22,104.52,68.36,73.36,108.46,92.51,10.76,12.02,98.97,30.87,101.15,83.9,84.22,105.79,96.24,104.23,32.39,36.83,13.95,105.01,106.98,105.99,6.61,5.65,44.96,60.97,107.65,106.8,103.56,112.81,30.47,100.02,101.13,94.08,86.14,24.47,96.2,12.48,15.7,92.09,104.67,90.72,13.17,24.71,106.06,111.41,12.04,72.57,71.56,100.73,46.86,23.41,100.07,98.91,26.74,5.81,103.36,35.99,19.57,17.29,21.81,56.56,108.63,63.79,72.33,61.31,81.33,7.22,16.26,12.63,111.96,29.77,96.82,91.95,97.23,13.62,21.44,72.73,19.91,102.9,74.82,112.27,16.33,8.59,7.71,99.94,108.1,36.38,98.12,93.6,25.56,86.65,18.66,106.8,69.61,92.71,95.93,82.29,19.35,93.86,105.46,101.48,84.8,80.35,13.09,110.41,109.95,31.25,15.92,60.1,106.69,94.45,24.51,103.8,103.04,14.1,101.63,101.12,39.12,24.37
18,83.07,106.16,90.63,25.06,14.85,109.19,86.43,104.78,99.51,107.42,11.32,23.36,49.68,25.59,112.31,89.75,114.44,67.43,115.32,110.78,72.43,78.27,114.47,97.82,12.17,13.56,104.39,33.08,107.34,88.51,89.05,112.83,102.42,110.11,34.79,40.25,15.75,110.26,113.85,112.38,7.43,6.12,48.27,65.27,113.66,112.62,109.64,118.93,32.3,105.45,106.25,99.25,91.46,26.85,101.68,14.1,17.54,97.72,110.68,95.08,14.65,26.31,111.6,117.63,12.89,76.51,75.99,106.6,50.29,26.25,105.66,104.63,28.56,6.3,110.18,38.35,21.23,19.51,23.75,60.46,114.46,67.91,76.38,64.99,86.0,7.79,18.06,14.32,118.67,32.48,102.81,97.24,102.55,15.45,23.42,76.91,22.25,109.27,79.48,119.26,18.17,9.22,8.31,105.71,113.96,38.63,103.57,98.72,27.23,91.89,19.71,113.07,74.07,98.99,101.23,87.09,21.59,99.33,111.34,107.59,89.55,84.8,14.84,116.75,116.14,33.86,17.8,63.83,113.05,99.65,26.82,109.9,109.63,15.65,106.95,106.71,41.98,26.14
19,87.94,111.46,95.3,26.62,16.65,114.99,90.41,110.37,104.78,113.15,12.39,24.79,52.35,27.2,118.21,94.55,119.93,71.55,121.2,116.96,76.31,83.04,120.44,103.01,13.75,14.92,109.8,35.29,113.56,92.89,93.76,119.91,108.32,115.7,37.28,43.87,17.78,115.59,120.19,118.69,8.23,6.59,51.54,69.56,119.67,118.46,115.66,125.02,34.26,110.69,111.28,104.34,96.62,29.32,106.75,15.79,19.48,103.36,116.72,99.25,16.26,27.93,117.31,123.72,13.77,80.3,80.32,112.36,53.63,29.14,111.28,109.66,30.31,6.81,116.88,40.72,23.02,21.89,25.85,64.32,120.12,71.93,80.33,68.95,90.52,8.36,19.99,15.82,125.36,34.82,108.66,102.41,107.89,17.32,25.47,81.21,24.92,115.68,84.09,126.12,20.36,9.92,8.94,111.52,119.61,40.73,108.8,103.86,28.89,97.11,20.77,119.26,78.49,105.26,106.29,92.0,23.82,104.84,117.17,113.55,94.44,89.17,16.66,122.59,122.25,36.62,19.77,67.88,119.39,104.73,29.34,115.92,115.88,17.41,112.16,112.29,44.78,28.03
20,93.32,116.8,99.73,28.11,18.61,120.94,94.37,115.73,109.86,118.82,13.54,26.2,55.03,28.74,124.04,99.27,125.34,75.52,126.79,122.91,80.49,87.75,126.02,108.09,15.34,16.61,114.97,37.33,119.61,97.19,98.45,127.07,114.15,121.24,39.8,47.24,19.59,120.69,126.71,124.75,9.09,7.06,54.82,73.9,125.27,124.08,121.69,130.87,36.08,116.15,116.25,109.28,101.71,31.87,112.1,17.58,21.49,108.57,122.42,103.05,17.91,29.53,123.06,129.8,14.66,84.03,84.73,118.21,56.82,32.18,116.61,114.7,32.1,7.31,123.5,43.04,24.8,24.43,27.93,68.18,125.65,76.03,84.36,72.61,95.15,8.97,22.02,17.48,131.83,37.32,114.38,107.2,112.78,19.29,27.76,85.29,27.64,122.08,88.73,133.26,22.41,10.6,9.55,116.92,125.19,42.88,114.07,108.63,30.52,102.27,21.8,125.46,82.71,111.69,111.66,96.93,26.31,110.09,123.01,119.43,99.24,93.39,18.57,128.45,128.23,39.05,21.81,71.89,125.63,109.78,31.72,122.08,121.98,19.26,117.34,117.72,47.66,29.92
21,98.35,121.95,104.16,29.56,20.66,126.4,98.26,121.06,114.72,123.79,14.62,27.55,57.65,30.18,129.89,104.06,130.54,79.34,132.03,128.61,84.31,91.98,131.56,113.12,16.89,18.45,120.09,39.66,125.47,101.62,102.6,133.98,119.66,126.58,42.21,51.12,21.64,125.27,133.04,130.67,9.82,7.56,58.17,78.3,130.79,129.54,127.74,136.74,37.85,121.33,121.1,114.05,106.84,34.56,117.11,19.28,23.72,113.76,128.0,106.84,19.53,31.13,128.46,135.62,15.54,87.74,89.0,123.6,59.88,35.25,121.92,119.64,33.83,7.81,129.83,45.46,26.6,26.82,29.88,71.84,131.1,79.91,88.31,76.09,99.49,9.58,24.1,19.15,138.2,39.84,119.88,112.37,117.96,21.15,30.09,89.19,30.46,128.08,93.23,140.34,24.21,11.28,10.22,122.33,130.56,44.98,118.91,113.67,32.11,107.23,22.83,131.6,86.83,118.04,116.59,101.88,28.91,115.14,128.57,125.28,104.05,97.16,20.62,134.59,133.91,41.9,23.85,75.7,131.85,114.9,34.29,128.13,127.94,21.04,122.3,123.0,50.53,31.69
22,103.79,127.06,108.56,30.98,22.64,132.07,102.0,126.5,120.33,129.31,15.8,28.94,60.45,31.69,135.72,109.25,135.59,83.05,137.44,134.31,88.36,96.55,137.24,118.11,18.73,20.38,125.35,41.88,131.54,106.19,107.14,141.07,125.21,131.7,44.51,55.62,24.05,130.35,139.65,136.38,10.62,8.02,61.29,82.9,136.35,134.96,134.0,142.43,39.54,126.61,126.07,118.85,111.56,37.26,122.11,21.21,26.07,119.1,133.83,110.81,21.27,32.76,133.94,141.58,16.21,91.51,93.17,129.31,62.62,38.43,127.07,124.86,35.61,8.33,136.39,47.72,28.36,29.4,32.1,76.06,136.58,84.0,92.25,80.18,104.43,10.22,26.19,21.02,144.6,42.57,125.41,117.33,123.64,23.27,32.4,93.39,33.43,134.21,97.72,147.55,26.4,11.91,10.87,127.93,136.16,46.79,123.71,118.71,33.64,112.35,23.81,137.94,90.92,124.64,121.76,106.77,32.13,120.02,134.45,131.19,108.85,101.48,22.78,140.31,139.52,44.75,26.06,79.45,138.24,119.99,36.88,134.44,134.32,22.82,127.16,128.46,53.28,33.75
