Level0;Level1;Level2;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Disastri (generico) ; Frane, Valanghe;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Disastri (generico) ; Disastri naturali;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Disastri (generico) ; Frane, Valanghe;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Piani Emergenza;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Salvataggio;;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Acquicoltura;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Coltivazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Industria ittica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Silvicoltura;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Allevamento;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Viticoltura;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Agricoltura ; Acquicoltura;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Sintetici e plastica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Biotecnologia;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Fertilizzanti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Cosmetici, Prodotti per l'igiene;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Chimica inorganica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Chimica organica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Industria Farmaceutica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Produzione Chimica ; Sintetici e plastica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Tecnologia wireless;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Hardware;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Reti e Connessioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Tecnologia satellitare;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Semiconduttori, Componenti elettronici;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Software;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Sistemi Telecomunicazione;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Servizi Telecomunicazione;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Sicurezza;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Informatica e Telecomunicazioni ; Tecnologia wireless;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Progettazione, Ingegneria;;;;;;;;;;;;;;;;
