Level0	Level1	Level2
Economia, affari e finanza 	 Servizi finanziari 	 Assicurazioni
Economia, affari e finanza 	 Servizi finanziari 	 Servizi legali
Economia, affari e finanza 	 Servizi finanziari 	 Indagini Mercato
Economia, affari e finanza 	 Servizi finanziari 	 Negoziazioni Titoli
Economia, affari e finanza 	 Servizi finanziari 	 Investimenti personali
Economia, affari e finanza 	 Servizi finanziari 	 Tendenze Mercato
Economia, affari e finanza 	 Servizi finanziari 	 Spedizioni
Economia, affari e finanza 	 Servizi finanziari 	 Servizi per la persona
Economia, affari e finanza 	 Servizi finanziari 	 Servizi Ambientali
Economia, affari e finanza 	 Servizi finanziari 	 Servizi funebri
Economia, affari e finanza 	 Servizi finanziari 	 Noleggi
Economia, affari e finanza 	 Servizi finanziari 	 Servizi matrimoniali
Economia, affari e finanza 	 Servizi finanziari 	 Finanze personali
Economia, affari e finanza 	 Servizi finanziari 	 Redditi personali
Economia, affari e finanza 	 Servizi finanziari 	 Aste
Economia, affari e finanza 	 Servizi finanziari 	 Servizi di stampa, promozionali
Economia, affari e finanza 	 Servizi finanziari 	 Servizi Investimento
Economia, affari e finanza 	 Beni Consumo 	 Giocattoli
Economia, affari e finanza 	 Beni Consumo 	 Abbigliamento
Economia, affari e finanza 	 Beni Consumo 	 Grandi magazzini
Economia, affari e finanza 	 Beni Consumo 	 Alimenti
Economia, affari e finanza 	 Beni Consumo 	 Vendita per corrispondenza
Economia, affari e finanza 	 Beni Consumo 	 Dettaglio
Economia, affari e finanza 	 Beni Consumo 	 Negozi specializzati
Economia, affari e finanza 	 Beni Consumo 	 Ingrosso
Economia, affari e finanza 	 Beni Consumo 	 Bevande
Economia, affari e finanza 	 Beni Consumo 	 Commercio elettronico
Economia, affari e finanza 	 Beni Consumo 	 Beni di lusso
Economia, affari e finanza 	 Beni Consumo 	 Beni non durevoli
Economia, affari e finanza 	 Beni Consumo 	 Giocattoli
Economia, affari e finanza 	 Macroeconomia 	 Bilancia commerciale
Economia, affari e finanza 	 Macroeconomia 	 Banche centrali
Economia, affari e finanza 	 Macroeconomia 	 Consumatori
Economia, affari e finanza 	 Macroeconomia 	 Mercato emissioni obbligazionarie e titoli
Economia, affari e finanza 	 Macroeconomia 	 Indici economici
Economia, affari e finanza 	 Macroeconomia 	 Mercati emergenti
Economia, affari e finanza 	 Macroeconomia 	 Mercato Cambi
Economia, affari e finanza 	 Macroeconomia 	 Aiuto pubblico
Economia, affari e finanza 	 Macroeconomia 	 Debito pubblico
Economia, affari e finanza 	 Macroeconomia 	 Tassi interesse
Economia, affari e finanza 	 Macroeconomia 	 Istituzioni economiche internazionali
Economia, affari e finanza 	 Macroeconomia 	 Commercio Estero
Economia, affari e finanza 	 Macroeconomia 	 Mercato monetario
Economia, affari e finanza 	 Macroeconomia 	 Organizzazioni economiche
Economia, affari e finanza 	 Macroeconomia 	 Fiducia Consumatori
Economia, affari e finanza 	 Macroeconomia 	 Dispute commerciali
Economia, affari e finanza 	 Macroeconomia 	 Inflazione, Deflazione
Economia, affari e finanza 	 Macroeconomia 	 Prezzi
Economia, affari e finanza 	 Macroeconomia 	 Valute
Economia, affari e finanza 	 Macroeconomia 	 Bilancio
Economia, affari e finanza 	 Macroeconomia 	 Credito, Debito
Economia, affari e finanza 	 Macroeconomia 	 Prestiti
Economia, affari e finanza 	 Macroeconomia 	 Ipoteca
Economia, affari e finanza 	 Macroeconomia 	 Mercati finanziari
Economia, affari e finanza 	 Macroeconomia 	 Mercati Materie prime
Economia, affari e finanza 	 Macroeconomia 	 Investimenti
Economia, affari e finanza 	 Macroeconomia 	 Azioni
Economia, affari e finanza 	 Macroeconomia 	 Obbligazioni
Economia, affari e finanza 	 Macroeconomia 	 Fondi mutuabili
Economia, affari e finanza 	 Macroeconomia 	 Titoli derivati
Economia, affari e finanza 	 Macroeconomia 	 Importazioni
Economia, affari e finanza 	 Macroeconomia 	 Esportazioni
Economia, affari e finanza 	 Macroeconomia 	 Accordi commerciali
Economia, affari e finanza 	 Macroeconomia 	 Politica commerciale
Economia, affari e finanza 	 Macroeconomia 	 Imprese
Economia, affari e finanza 	 Macroeconomia 	 Tariffe
Economia, affari e finanza 	 Macroeconomia 	 Bilancia commerciale
Economia, affari e finanza 	 Mercati, Borse 	 Beni non durevoli
Economia, affari e finanza 	 Mercati, Borse 	 Energia
Economia, affari e finanza 	 Mercati, Borse 	 Metallo
Economia, affari e finanza 	 Mercati, Borse 	 Titoli, Valori mobiliari
Economia, affari e finanza 	 Mercati, Borse 	 Beni non durevoli
Economia, affari e finanza 	 Media 	 Industria musicale
Economia, affari e finanza 	 Media 	 Pubblicita' 
Economia, affari e finanza 	 Media 	 Editoria
Economia, affari e finanza 	 Media 	 Industria cinematografica
Economia, affari e finanza 	 Media 	 Agenzie di stampa
Economia, affari e finanza 	 Media 	 Quotidiani e periodici
Economia, affari e finanza 	 Media 	 On line
Economia, affari e finanza 	 Media 	 Pubbliche Relazioni
Economia, affari e finanza 	 Media 	 Industria Radiofonica
Economia, affari e finanza 	 Media 	 Servizi via satellite e via cavo
Economia, affari e finanza 	 Media 	 Industria televisiva
Economia, affari e finanza 	 Media 	 Industria musicale
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Macchinari
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Aerospaziale
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Automobilistica
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Armamenti
